invariant_id	formal_layer	formal_artifact	formal_symbol	production_artifact	production_symbol
INT-001	Rocq	formal/rocq/GraphSnapshot.v	decode_encode_round_trip	tests/contracts.rs	round_trip_and_unique_encoding
INT-002	Rocq	formal/rocq/GraphSnapshot.v	canonical_encoding_unique	tests/golden.rs	exact_version_1_golden_vectors_are_stable
INT-003	Rocq	formal/rocq/GraphSnapshot.v	unknown_schema_rejected	tests/malformed.rs	header_failure_matrix_is_exact
INT-004	Rocq	formal/rocq/GraphSnapshot.v	unknown_major_rejected	tests/malformed.rs	header_failure_matrix_is_exact
INT-005	Rocq	formal/rocq/GraphSnapshot.v	unknown_minor_rejected	tests/malformed.rs	header_failure_matrix_is_exact
INT-006	Rocq	formal/rocq/GraphSnapshot.v	semantic_profile_mismatch_rejected	tests/contracts.rs	profile_and_digest_domains_are_separated
INT-007	Rocq	formal/rocq/GraphSnapshot.v	admitted_snapshot_respects_vertex_limit	tests/malformed.rs	all_resource_limits_reject_before_graph_publication
INT-008	Rocq	formal/rocq/GraphSnapshot.v	admitted_snapshot_respects_edge_limit	tests/malformed.rs	all_resource_limits_reject_before_graph_publication
INT-009	Rocq	formal/rocq/GraphSnapshot.v	admitted_snapshot_respects_byte_limit	tests/malformed.rs	all_resource_limits_reject_before_graph_publication
INT-010	Rocq	formal/rocq/GraphSnapshot.v	decoder_heap_is_linear	tests/stack_safety.rs	deep_codec_lifecycle_is_native_stack_independent
INT-011	Rocq	formal/rocq/GraphSnapshot.v	decoder_work_is_linear	tests/contracts.rs	payload_length_and_maximum_count_arithmetic_are_exact
INT-012	Rocq	formal/rocq/GraphSnapshot.v	decoder_step_progresses	tests/exhaustive.rs	every_directed_graph_through_three_vertices_refines_the_formal_contract
INT-013	Rocq	formal/rocq/GraphSnapshot.v	decoder_step_preserves_validity	tests/malformed.rs	every_strict_prefix_and_trailing_suffix_is_rejected
INT-014	Rocq	formal/rocq/GraphSnapshot.v	decoder_native_stack_is_constant	tests/stack_safety.rs	deep_codec_lifecycle_is_native_stack_independent
INT-015	Rocq	formal/rocq/GraphSnapshot.v	digest_domain_separated	tests/contracts.rs	digest_changes_when_length_or_payload_changes
INT-016	Rocq	formal/rocq/GraphSnapshot.v	digest_schema_separated	tests/contracts.rs	exact_version_schema_and_digest_constants_are_frozen
INT-017	Rocq	formal/rocq/GraphSnapshot.v	digest_profile_separated	tests/contracts.rs	profile_and_digest_domains_are_separated
INT-018	Rocq	formal/rocq/GraphSnapshot.v	canonical_enumeration_extensional	tests/contracts.rs	round_trip_and_unique_encoding
INT-019	Rocq	formal/rocq/GraphSnapshot.v	canonical_rename_round_trip	tests/contracts.rs	lawful_dense_renaming_is_equivariant
INT-020	TLC	formal/tla/InteropCodecMachine.tla	TypeOK	tests/contracts.rs	round_trip_and_unique_encoding
INT-021	TLC	formal/tla/InteropCodecMachine.tla	CursorBound	tests/exhaustive.rs	every_directed_graph_through_three_vertices_refines_the_formal_contract
INT-022	TLC	formal/tla/InteropCodecMachine.tla	ResourceBound	tests/contracts.rs	work_admission_and_cancellation_are_fail_atomic
INT-023	TLC	formal/tla/InteropCodecMachine.tla	AllocationAfterLengthAdmission	tests/malformed.rs	all_resource_limits_reject_before_graph_publication
INT-024	TLC	formal/tla/InteropCodecMachine.tla	RejectedNeverPublishes	tests/contracts.rs	digest_verification_rejects_stale_bytes
INT-025	TLC	formal/tla/InteropCodecMachine.tla	ExactHasCompleteTape	tests/contracts.rs	round_trip_and_unique_encoding
INT-026	TLC	formal/tla/InteropCodecMachine.tla	AdmissionSound	tests/malformed.rs	every_strict_prefix_and_trailing_suffix_is_rejected
INT-027	TLC	formal/tla/InteropCodecMachine.tla	PublicationSound	tests/contracts.rs	work_admission_and_cancellation_are_fail_atomic
INT-028	TLC	formal/tla/InteropCodecMachine.tla	CancellationSticky	tests/contracts.rs	work_admission_and_cancellation_are_fail_atomic
INT-029	TLC	formal/tla/InteropCodecMachine.tla	NativeControlDepthBound	tests/stack_safety.rs	deep_codec_lifecycle_is_native_stack_independent
INT-030	TLC	formal/tla/InteropCodecMachine.tla	SkipSchema	tests/malformed.rs	header_failure_matrix_is_exact
INT-031	TLC	formal/tla/InteropCodecMachine.tla	SkipCanonical	tests/malformed.rs	canonical_csr_failure_matrix_is_exact
INT-032	TLC	formal/tla/InteropCodecMachine.tla	IgnoreCancellation	tests/contracts.rs	work_admission_and_cancellation_are_fail_atomic
INT-033	Z3	formal/smt/interop_snapshot.smt2	wire_length	tests/contracts.rs	payload_length_and_maximum_count_arithmetic_are_exact
